# SP1500 fetch failures — generated 2026-05-08T14:56:33
# Format: TICKER  REASON

## Hard failures (no price data — likely delisted / wrong symbol)
(none)

## Limited-history IPOs (valid data, but price starts after the min cutoff — usable for validation + late training, not for early-training features)
KBH         missing: earnings
KBR         missing: earnings
KD          missing: earnings
KDP         missing: earnings
KEX         missing: earnings
KEY         missing: earnings
KEYS        missing: earnings
KFY         missing: earnings
KGS         missing: earnings
KHC         missing: earnings
KIM         missing: earnings
KLAC        missing: earnings
KLIC        missing: earnings
KMB         missing: earnings
KMI         missing: earnings
KMPR        missing: earnings
KMT         missing: earnings
KMX         missing: earnings
KN          missing: earnings
KNF         missing: earnings
KNSL        missing: earnings
KNTK        missing: earnings
KNX         missing: earnings
KO          missing: earnings
KOP         missing: earnings
KR          missing: earnings
KRC         missing: earnings
KRG         missing: earnings
KRYS        missing: earnings
KSS         missing: earnings
KTB         missing: earnings
KTOS        missing: earnings
KW          missing: earnings
KWR         missing: earnings
L           missing: earnings
LAD         missing: earnings
LAMR        missing: earnings
LAUR        missing: earnings
LBRT        missing: earnings
LCII        missing: earnings
LDOS        missing: earnings
LEA         missing: earnings
LECO        missing: earnings
LEG         missing: earnings
LEN         missing: earnings
LFST        missing: earnings
LFUS        missing: earnings
LGIH        missing: earnings
LGND        missing: earnings
LH          missing: earnings
LHX         missing: earnings
LIF         missing: earnings
LIN         missing: earnings
LIVN        missing: earnings
LKFN        missing: earnings
LKQ         missing: earnings
LLY         missing: earnings
LMAT        missing: earnings
LMT         missing: earnings
LNC         missing: earnings
LNN         missing: earnings
LNT         missing: earnings
LNTH        missing: earnings
LOPE        missing: earnings
LOW         missing: earnings
LPG         missing: earnings
LPX         missing: earnings
LQDT        missing: earnings
LRCX        missing: earnings
LRN         missing: earnings
LSCC        missing: earnings
LSTR        missing: earnings
LTC         missing: earnings
LTH         missing: earnings
LULU        missing: earnings
LUMN        missing: earnings
LUV         missing: earnings
LVS         missing: earnings
LW          missing: earnings
LXP         missing: earnings
LYB         missing: earnings
LYFT        missing: earnings
LYV         missing: earnings
LZ          missing: earnings
LZB         missing: earnings
M           missing: earnings
MA          missing: earnings
MAA         missing: earnings
MAC         missing: earnings
MAN         missing: earnings
MANH        missing: earnings
MAR         missing: earnings
MARA        missing: earnings
MAS         missing: earnings
MASI        missing: earnings
MAT         missing: earnings
MATW        missing: earnings
MATX        missing: earnings
MBC         missing: earnings
MBIN        missing: earnings
MC          missing: earnings
MCD         missing: earnings
MCHP        missing: earnings
MCK         missing: earnings
MCO         missing: earnings
MCRI        missing: earnings
MCW         missing: earnings
MCY         missing: earnings
MD          missing: earnings
MDB         missing: earnings
MDLZ        missing: earnings
MDT         missing: earnings
MDU         missing: earnings
MEDP        missing: earnings
MELI        missing: earnings
MET         missing: earnings
META        missing: earnings
MGEE        missing: earnings
MGM         missing: earnings
MGY         missing: earnings
MHK         missing: earnings
MHO         missing: earnings
MIDD        missing: earnings
MIR         missing: earnings
MKC         missing: earnings
MKSI        missing: earnings
MKTX        missing: earnings
MLI         missing: earnings
MLKN        missing: earnings
MLM         missing: earnings
MMI         missing: earnings
MMM         missing: earnings
MMS         missing: earnings
MMSI        missing: earnings
MNRO        missing: earnings
MNST        missing: earnings
MO          missing: earnings
MOG-A       missing: earnings
MOH         missing: earnings
MORN        missing: earnings
MOS         missing: earnings
MP          missing: earnings
MPC         missing: earnings
MPT         missing: earnings
MPWR        missing: earnings
MRCY        missing: earnings
MRK         missing: earnings
MRNA        missing: earnings
MRP         missing: earnings
MRTN        missing: earnings
MRVL        missing: earnings
MS          missing: earnings
MSA         missing: earnings
MSCI        missing: earnings
MSEX        missing: earnings
MSFT        missing: earnings
MSGS        missing: earnings
MSI         missing: earnings
MSM         missing: earnings
MTB         missing: earnings
MTCH        missing: earnings
MTD         missing: earnings
MTDR        missing: earnings
MTG         missing: earnings
MTH         missing: earnings
MTN         missing: earnings
MTRN        missing: earnings
MTSI        missing: earnings
MTUS        missing: earnings
MTX         missing: earnings
MTZ         missing: earnings
MU          missing: earnings
MUR         missing: earnings
MUSA        missing: earnings
MWA         missing: earnings
MXL         missing: earnings
MYRG        missing: earnings
MZTI        missing: earnings
NABL        missing: earnings
NATL        missing: earnings
NAVI        missing: earnings
NBHC        missing: earnings
NBIX        missing: earnings
NBTB        missing: earnings
NCLH        missing: earnings
NDAQ        missing: earnings
NDSN        missing: earnings
NE          missing: earnings
NEE         missing: earnings
NEM         missing: earnings
NEO         missing: earnings
NEOG        missing: earnings
NEU         missing: earnings
NFG         missing: earnings
NFLX        missing: earnings
NGVT        missing: earnings
NHC         missing: earnings
NI          missing: earnings
NKE         missing: earnings
NLY         missing: earnings
NMIH        missing: earnings
NNN         missing: earnings
NOC         missing: earnings
NOG         missing: earnings
NOV         missing: earnings
NOVT        missing: earnings
NOW         missing: earnings
NPK         missing: earnings
NPO         missing: earnings
NRG         missing: earnings
NSA         missing: earnings
NSC         missing: earnings
NSIT        missing: earnings
NSP         missing: earnings
NSSC        missing: earnings
NTAP        missing: earnings
NTCT        missing: earnings
NTNX        missing: earnings
NTRS        missing: earnings
NUE         missing: earnings
NVDA        missing: earnings
NVR         missing: earnings
NVRI        missing: earnings
NVST        missing: earnings
NVT         missing: earnings
NWBI        missing: earnings
NWE         missing: earnings
NWL         missing: earnings
NWN         missing: earnings
NWS         missing: earnings
NWSA        missing: earnings
NX          missing: earnings
NXPI        missing: earnings
NXRT        missing: earnings
NXST        missing: earnings
NXT         missing: earnings
NYT         missing: earnings
O           missing: earnings
OC          missing: earnings
ODFL        missing: earnings
OFG         missing: earnings
OGE         missing: earnings
OGN         missing: earnings
OGS         missing: earnings
OHI         missing: earnings
OI          missing: earnings
OII         missing: earnings
OKE         missing: earnings
OKTA        missing: earnings
OLED        missing: earnings
OLLI        missing: earnings
OLN         missing: earnings
